1,enckd@naver.com,djaenckd1,0,엄두창,두창,1999-07-30,010-2345-6789,남,2022-01-29,06134,서울시 강남구,역삼동 819-3,스쿼시,0,,,
2,tjreo@gmail.com,aktjreo2,0,마석대,석대,1999-01-07,010-2345-6790,여,2022-01-30,06134,서울시 강남구,역삼동 820-5,게임,0,,,
3,djren@gmail.com,dudjren3,0,여억두,억두,1999-03-07,010-2345-6791,여,2022-02-01,30010,서울시 강남구,,테니스,0,,,
4,rhkdrl@naver.com,dbsrhkdrl4,0,윤광기,광기,1999-04-04,010-2345-6792,남,2022-03-06,20040,서울시 강남구,,독서,0,,,
5,guswjd@naver.com,rkfguswjd5,1,갈현정,현정,1995-04-24,010-2345-6793,남,2022-03-07,01130,서울시 강남구,,게임,0,,,
6,rjsgml@gmail.com,whrjsgml6,1,조건희,건희,1992-03-01,010-2345-6794,남,2022-03-07,30050,서울시 강남구,,그림,0,,,
7,tjsdud@gmail.com,wlstjsdud7,1,진선영,선영,1994-05-20,010-2345-6795,여,2022-03-07,06123,서울시 강남구,역삼동 814-6,독서,0,,,
8,gudtjr@naver.com,qkrgudtjr8,1,박형석,형석,1999-09-19,010-2345-6796,여,2022-03-07,12500,서울시 강남구,,음악,1,2022-07-17,,
9,fldus@naver.com,rlafldus9,1,김리연,리연,1998-02-25,010-2345-6797,여,2022-03-07,06129,서울시 강남구,역삼동 815,독서,0,,,
10,qhdtn@naver.com,rnjsqhdtn10,1,권봉수,봉수,1995-04-24,010-2345-6798,남,2022-03-07,33200,서울시 강남구,,독서,0,,,
11,gmltjs@gmail.com,tlsgmltjs11,1,신희선,희선,1999-03-07,010-2345-6799,여,2022-03-07,11010,경기도 하남시,,음악,0,,,
12,ghwls@gmail.com,tjfghwls12,1,설호진,호진,1994-05-20,010-2345-6800,남,2022-03-07,40110,경기도 하남시,,그림,0,,,
13,wlgo@gmail.com,rlawlgo13,1,김지해,지해,1996-11-10,010-2345-6801,여,2022-03-08,12965,경기도 하남시,덕풍동 695,독서,0,,,
